,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
129,,,"[(1085.18408203125, 60.48000717163086), (1010.8800659179688, 61.92000198364258)]","[(667.008056640625, 152.0640106201172), (660.0960693359375, 153.79200744628906)]",,,,,,,,,,,
130,,,"[(520.1280517578125, 193.5360107421875), (511.488037109375, 193.5360107421875)]","[(518.4000244140625, 196.9920196533203), (509.7600402832031, 196.9920196533203)]",,,,,,,,,,,
131,,,"[(442.3680419921875, 181.4400177001953), (433.72802734375, 181.4400177001953)]","[(438.91204833984375, 183.1680145263672), (430.27203369140625, 183.1680145263672)]",,,,,,,,,,,
132,,,"[(412.9920349121094, 224.6400146484375), (394.5600280761719, 224.6400146484375)]","[(404.35205078125, 229.8240203857422), (384.4800109863281, 228.9600067138672)]",,,,,,,,,,,
133,,,"[(300.6720275878906, 134.7840118408203), (286.1568298339844, 134.7840118408203)]","[(290.3040466308594, 134.7840118408203), (273.7152404785156, 134.7840118408203)]","[(277.8624267578125, 134.7840118408203), (263.34722900390625, 134.7840118408203)]","[(263.34722900390625, 130.63682556152344), (246.75843811035156, 130.63682556152344)]","[(248.83203125, 126.48961639404297), (232.24322509765625, 126.48961639404297)]","[(232.24322509765625, 124.416015625), (213.58082580566406, 124.416015625)]",,,,,,,
134,,,"[(157.5936279296875, 116.12161254882812), (136.8576202392578, 116.12161254882812)]","[(132.71041870117188, 114.04801940917969), (110.59201049804688, 114.04801177978516)]",,,,,,,,,,,
135,,,"[(508.0320739746094, 151.37281799316406), (501.811279296875, 151.37281799316406)]","[(508.0320739746094, 153.44642639160156), (501.811279296875, 153.44642639160156)]",,,,,,,,,,,
136,,,"[(159.2525177001953, 116.95106506347656), (136.8576202392578, 116.12161254882812)]","[(134.3693084716797, 114.4627456665039), (111.97442626953125, 114.4627456665039)]","[(106.99778747558594, 111.97442626953125), (82.11457824707031, 111.97442626953125)]",,,,,,,,,,
137,,,"[(475.26922607421875, 92.06786346435547), (470.2926025390625, 92.06786346435547)]","[(475.26922607421875, 94.55618286132812), (470.2926025390625, 94.55618286132812)]",,,,,,,,,,,
138,,,"[(406.09393310546875, 223.9488525390625), (388.17803955078125, 223.9488525390625)]","[(397.135986328125, 229.92083740234375), (379.2200622558594, 229.92083740234375)]","[(388.17803955078125, 232.9068145751953), (370.2621154785156, 232.9068145751953)]","[(376.2341003417969, 232.9068145751953), (354.7350158691406, 232.9068145751953)]",,,,,,,,,
139,,,"[(352.34619140625, 92.5655288696289), (340.40228271484375, 92.5655288696289)]","[(346.3742370605469, 92.5655288696289), (334.4302978515625, 92.5655288696289)]",,,,,,,,,,,
140,,,"[(247.83673095703125, 247.83673095703125), (212.00491333007812, 247.83673095703125)]","[(211.40773010253906, 257.9891052246094), (175.57591247558594, 257.9891052246094)]",,,,,,,,,,,
141,,,"[(734.5523071289062, 111.0786361694336), (720.2195434570312, 111.0786361694336)]","[(738.1354370117188, 114.66181945800781), (723.802734375, 114.66181945800781)]","[(741.7186279296875, 114.66181945800781), (727.3859252929688, 114.66181945800781)]",,,,,,,,,,
142,,,"[(666.4718017578125, 150.49363708496094), (659.3054809570312, 150.49363708496094)]","[(666.4718017578125, 154.07681274414062), (662.888671875, 154.07681274414062)]",,,,,,,,,,,
143,,,,"[(402.0, 227.0), (383.0, 227.0)]","[(392.0, 230.0), (372.0, 230.0)]",,,,,,,,,,
144,,,,"[(735.0, 121.0), (720.0, 120.0)]","[(740.0, 121.0), (725.0, 120.0)]",,,,,,,,,,
145,,,,"[(448.0, 159.0), (439.0, 159.0)]","[(444.0, 159.0), (437.0, 159.0)]",,,,,,,,,,
146,,,,"[(330.0, 192.0), (316.0, 191.0)]","[(321.0, 192.0), (306.0, 193.0)]","[(310.0, 191.0), (295.0, 191.0)]",,,,,,,,,
147,,,,"[(510.0, 156.0), (504.0, 155.0)]","[(509.0, 157.0), (503.0, 155.0)]",,,,,,,,,,
148,,,,"[(300.0, 41.0), (286.0, 42.0)]","[(290.0, 37.0), (274.8000183105469, 37.20000076293945)]",,,,,,,,,,
149,,,,"[(394.0, 233.0), (375.0, 232.0)]","[(384.0, 236.0), (364.0, 236.0)]",,,,,,,,,,
150,,,,"[(605.0, 185.0), (598.0, 185.0)]","[(606.0, 186.0), (599.0, 186.0)]","[(606.0, 184.0), (599.0, 184.0)]",,,,,,,,,
151,,,,"[(131.0, 114.0), (109.0, 114.0)]","[(276.0, 134.0), (260.0, 134.0)]","[(262.8000183105469, 129.60000610351562), (246.00001525878906, 129.60000610351562)]","[(247.20001220703125, 126.00000762939453), (230.40000915527344, 126.00000762939453)]",,,,,,,,
152,,,,"[(498.0000305175781, 169.20001220703125), (490.8000183105469, 169.20001220703125)]","[(496.8000183105469, 170.40000915527344), (489.6000061035156, 169.20001220703125)]","[(494.4000244140625, 168.0), (487.20001220703125, 168.0)]",,,,,,,,,
153,,,,"[(752.4000244140625, 120.00000762939453), (740.4000244140625, 120.00000762939453)]","[(757.2000122070312, 120.00000762939453), (744.0, 120.00000762939453)]",,,,,,,,,,
154,,,,"[(330.0, 192.0), (316.0, 191.0)]","[(320.4000244140625, 193.20001220703125), (307.20001220703125, 192.0)]",,,,,,,,,,
155,,,,"[(399.6000061035156, 129.60000610351562), (393.1200256347656, 129.60000610351562)]","[(397.44000244140625, 129.60000610351562), (388.800048828125, 129.60000610351562)]","[(393.1200256347656, 126.72000122070312), (384.4800109863281, 126.72000122070312)]","[(388.8000183105469, 123.84000396728516), (378.7200012207031, 123.84000396728516)]","[(381.8880310058594, 122.6880111694336), (373.248046875, 122.6880111694336)]",,,,,,,
156,,,,"[(510.0000305175781, 156.0), (501.6000061035156, 154.8000030517578)]","[(508.8000183105469, 154.8000030517578), (502.8000183105469, 154.8000030517578)]",,,,,,,,,,
157,,,,"[(355.20001220703125, 79.20000457763672), (343.20001220703125, 79.20000457763672)]","[(348.0, 76.80000305175781), (336.0, 76.80000305175781)]",,,,,,,,,,
158,,,,"[(458.4000244140625, 127.20000457763672), (450.0000305175781, 127.20000457763672)]","[(456.0000305175781, 127.20000457763672), (448.8000183105469, 127.20000457763672)]",,,,,,,,,,
159,,,,"[(751.2000122070312, 110.4000015258789), (739.2000122070312, 110.4000015258789)]","[(757.2000122070312, 109.20000457763672), (744.0, 109.20000457763672)]",,,,,,,,,,
160,,,,"[(398.4000244140625, 236.40000915527344), (379.0, 236.0)]","[(387.6000061035156, 240.00001525878906), (368.4000244140625, 240.00001525878906)]",,,,,,,,,,
161,,,,"[(562.800048828125, 166.8000030517578), (559.2000122070312, 166.8000030517578)]","[(562.800048828125, 168.0), (559.2000122070312, 166.8000030517578)]",,,,,,,,,,
162,,,,"[(469.4400329589844, 131.04000854492188), (462.2400207519531, 131.04000854492188)]","[(468.0000305175781, 131.04000854492188), (460.8000183105469, 131.04000854492188)]","[(465.1200256347656, 128.16000366210938), (457.9200134277344, 128.16000366210938)]","[(462.2400207519531, 125.2800064086914), (455.0400085449219, 125.2800064086914)]",,,,,,,,
163,,,,"[(457.9200134277344, 128.16000366210938), (450.72003173828125, 128.16000366210938)]","[(455.0400085449219, 128.16000366210938), (447.5520324707031, 127.87200927734375)]",,,,,,,,,,
164,,,,"[(666.7200317382812, 159.8400115966797), (660.9600219726562, 159.8400115966797)]","[(668.1600341796875, 161.27999877929688), (662.4000244140625, 160.8000030517578)]",,,,,,,,,,
165,,,,"[(463.6800231933594, 129.60000610351562), (456.1920471191406, 129.60000610351562)]","[(460.8000183105469, 128.16000366210938), (454.46405029296875, 129.60000610351562)]",,,,,,,,,,
166,,,,"[(285.1200256347656, 168.48001098632812), (269.2799987792969, 168.48001098632812)]","[(272.1600036621094, 168.48001098632812), (256.32000732421875, 168.48001098632812)]",,,,,,,,,,
167,,,,"[(208.8000030517578, 262.08001708984375), (169.92001342773438, 260.6400146484375)]","[(165.8880157470703, 271.2960205078125), (120.96001434326172, 271.2960205078125)]",,,,,,,,,,
168,,,,"[(393.1200256347656, 228.9600067138672), (374.4000244140625, 228.9600067138672)]","[(383.0400085449219, 231.8400115966797), (362.8800048828125, 231.8400115966797)]",,,,,,,,,,
169,,,,"[(167.6160125732422, 179.71202087402344), (148.60801696777344, 177.98402404785156)]","[(145.15200805664062, 179.71202087402344), (124.416015625, 179.71202087402344)]","[(119.23200988769531, 177.98402404785156), (96.76800537109375, 177.98402404785156)]","[(89.16481018066406, 176.2560272216797), (66.35520935058594, 176.2560272216797)]",,,,,,,,
170,,,,"[(138.24002075195312, 176.25601196289062), (115.77600860595703, 176.25601196289062)]","[(110.59201049804688, 176.25601196289062), (86.40000915527344, 176.25601196289062)]",,,,,,,,,,
171,,,,"[(331.7760314941406, 193.5360107421875), (317.2608337402344, 192.84483337402344)]","[(321.4080505371094, 194.91842651367188), (306.8928527832031, 194.91842651367188)]",,,,,,,,,,
172,,,,"[(751.6800537109375, 119.23200988769531), (739.5840454101562, 119.23200988769531)]","[(756.8640747070312, 119.23200988769531), (745.0, 121.0)]",,,,,,,,,,
173,,,,"[(292.0320129394531, 233.280029296875), (260.92803955078125, 233.280029296875)]","[(265.42083740234375, 238.4640350341797), (232.24322509765625, 238.4640350341797)]",,,,,,,,,,
174,,,,"[(457.9200439453125, 127.87200927734375), (450.72003173828125, 128.16000366210938)]","[(456.1920471191406, 127.87200927734375), (447.5520324707031, 127.87200927734375)]","[(452.7360534667969, 126.14401245117188), (445.82403564453125, 124.416015625)]","[(449.280029296875, 122.6880111694336), (441.6768493652344, 122.34241485595703)]",,,,,,,,
175,,,,"[(400.8960266113281, 129.60000610351562), (392.25604248046875, 129.60000610351562)]","[(397.4400329589844, 129.60000610351562), (388.800048828125, 129.60000610351562)]",,,,,,,,,,
176,,,,"[(463.1040344238281, 129.60000610351562), (456.1920471191406, 129.60000610351562)]","[(461.37603759765625, 129.60000610351562), (454.46405029296875, 129.60000610351562)]",,,,,,,,,,
177,,,,"[(350.7840270996094, 145.15200805664062), (338.6880187988281, 145.15200805664062)]","[(343.8720397949219, 143.42401123046875), (330.04803466796875, 143.42401123046875)]",,,,,,,,,,
178,,,,"[(558.14404296875, 184.89601135253906), (552.9600830078125, 184.89601135253906)]","[(558.14404296875, 186.6240234375), (552.9600830078125, 186.6240234375)]",,,,,,,,,,
179,,,,"[(213.58082580566406, 246.75843811035156), (171.69412231445312, 246.34373474121094)]","[(169.20579528808594, 253.80870056152344), (125.41136169433594, 253.8087158203125)]",,,,,,,,,,
180,,,,"[(138.93121337890625, 130.63682556152344), (116.12161254882812, 130.63682556152344)]","[(111.97442626953125, 126.90435028076172), (87.09121704101562, 126.90435028076172)]",,,,,,,,,,
181,,,,"[(136.8576202392578, 176.2560272216797), (116.12161254882812, 176.2560272216797)]","[(111.97442626953125, 176.67076110839844), (87.09121704101562, 176.67076110839844)]",,,,,,,,,,
182,,,,"[(136.85763549804688, 129.39266967773438), (114.4627456665039, 129.39266967773438)]","[(111.97442626953125, 126.90435028076172), (87.09121704101562, 126.90435028076172)]",,,,,,,,,,
183,,,,"[(268.7386169433594, 159.2525177001953), (250.82272338867188, 158.2572021484375)]","[(253.8087158203125, 158.2572021484375), (235.89279174804688, 158.2572021484375)]","[(238.8787841796875, 155.27120971679688), (220.96287536621094, 155.27120971679688)]","[(222.1572723388672, 154.07681274414062), (204.24136352539062, 154.07681274414062)]","[(204.24136352539062, 154.07681274414062), (186.32545471191406, 154.07681274414062)]","[(182.74227905273438, 154.07681274414062), (164.8263702392578, 154.07681274414062)]","[(161.24317932128906, 154.07681274414062), (139.7440948486328, 154.07681274414062)]","[(136.16090393066406, 154.07681274414062), (114.66181945800781, 154.07681274414062)]",,,,
184,,,,"[(440.4327392578125, 181.64739990234375), (432.9677734375, 181.64739990234375)]","[(437.9444274902344, 184.13572692871094), (427.99114990234375, 184.13572692871094)]","[(432.9677734375, 181.64739990234375), (425.5028076171875, 181.64739990234375)]","[(430.4794616699219, 179.15908813476562), (420.52618408203125, 179.15908813476562)]",,,,,,,,
185,,,,"[(512.5940551757812, 166.7174835205078), (504.6314392089844, 167.21514892578125)]","[(510.105712890625, 166.7174835205078), (504.6314392089844, 167.21514892578125)]",,,,,,,,,,
186,,,,"[(137.3553009033203, 128.3973388671875), (113.46742248535156, 128.3973388671875)]","[(110.48143768310547, 125.41136169433594), (87.09121704101562, 126.90435028076172)]",,,,,,,,,,
187,,,,"[(716.6363525390625, 137.3553009033203), (701.7064208984375, 137.3553009033203)]","[(719.622314453125, 137.3553009033203), (704.6923828125, 137.3553009033203)]",,,,,,,,,,
188,,,,"[(462.23046875, 179.15908813476562), (455.0640869140625, 179.15908813476562)]","[(458.64727783203125, 179.15908813476562), (451.4809265136719, 179.15908813476562)]",,,,,,,,,,
189,,,,"[(168.4095458984375, 179.15908813476562), (146.91046142578125, 179.15908813476562)]","[(143.3272705078125, 179.15908813476562), (121.82818603515625, 179.15908813476562)]",,,,,,,,,,
190,,,,"[(505.2286376953125, 175.57591247558594), (498.0622863769531, 175.57591247558594)]","[(505.2286376953125, 175.57591247558594), (498.0622863769531, 175.57591247558594)]",,,,,,,,,,
191,,,,,"[(734.0, 144.0), (718.0, 144.0)]","[(739.0, 140.0), (723.0, 140.0)]",,,,,,,,,
192,,,,,"[(271.0, 241.0), (237.0, 241.0)]","[(240.0, 245.0), (202.0, 245.0)]",,,,,,,,,
193,,,,,"[(344.0, 142.0), (331.0, 142.0)]","[(335.0, 138.0), (322.0, 138.0)]",,,,,,,,,
194,,,,,"[(450.0, 80.0), (445.20001220703125, 80.4000015258789)]","[(448.0, 76.0), (443.0, 76.0)]","[(446.0, 73.0), (440.0, 74.0)]","[(443.0, 72.0), (438.0, 73.0)]",,,,,,,
195,,,,,"[(254.40000915527344, 108.00000762939453), (229.20001220703125, 108.00000762939453)]","[(230.40000915527344, 100.80000305175781), (204.00001525878906, 102.00000762939453)]",,,,,,,,,
196,,,,,"[(396.0000305175781, 129.60000610351562), (387.6000061035156, 129.60000610351562)]","[(391.20001220703125, 126.00000762939453), (381.6000061035156, 126.00000762939453)]",,,,,,,,,
197,,,,,"[(398.4000244140625, 129.60000610351562), (390.0000305175781, 129.60000610351562)]","[(393.6000061035156, 126.00000762939453), (385.20001220703125, 126.00000762939453)]","[(388.8000183105469, 123.60000610351562), (376.0, 123.0)]",,,,,,,,
198,,,,,"[(668.4000244140625, 160.8000030517578), (662.4000244140625, 160.8000030517578)]","[(668.4000244140625, 158.40000915527344), (663.6000366210938, 158.40000915527344)]",,,,,,,,,
199,,,,,"[(388.8000183105469, 228.00001525878906), (368.4000244140625, 228.00001525878906)]","[(378.0, 229.20001220703125), (356.4000244140625, 229.20001220703125)]",,,,,,,,,
200,,,,,"[(561.6000366210938, 170.40000915527344), (559.0, 171.0)]","[(561.6000366210938, 168.0), (558.0, 168.0)]",,,,,,,,,
201,,,,,"[(711.6000366210938, 100.80000305175781), (701.0, 100.0)]","[(715.2000122070312, 96.0), (703.0, 96.0)]",,,,,,,,,
202,,,,,"[(307.20001220703125, 80.4000015258789), (290.4000244140625, 80.4000015258789)]","[(294.0, 74.4000015258789), (277.20001220703125, 74.4000015258789)]",,,,,,,,,
203,,,,,"[(471.6000061035156, 92.4000015258789), (466.8000183105469, 92.4000015258789)]","[(469.20001220703125, 88.80000305175781), (464.4000244140625, 88.80000305175781)]",,,,,,,,,
204,,,,,"[(250.8000030517578, 109.20000457763672), (225.60000610351562, 109.20000457763672)]","[(226.8000030517578, 103.20000457763672), (199.20001220703125, 103.20000457763672)]",,,,,,,,,
205,,,,,"[(388.8000183105469, 129.60000610351562), (378.7200012207031, 129.60000610351562)]","[(384.0, 126.00000762939453), (375.0, 126.0)]",,,,,,,,,
206,,,,,"[(556.800048828125, 159.60000610351562), (552.0, 159.60000610351562)]","[(555.6000366210938, 157.20001220703125), (552.0, 158.40000915527344)]","[(555.6000366210938, 154.8000030517578), (552.0, 154.8000030517578)]","[(555.6000366210938, 153.60000610351562), (550.800048828125, 154.8000030517578)]","[(554.4000244140625, 156.0), (550.800048828125, 154.8000030517578)]","[(554.4000244140625, 156.0), (550.800048828125, 154.8000030517578)]",,,,,
207,,,,,"[(344.4000244140625, 152.40000915527344), (331.20001220703125, 151.20001220703125)]","[(336.0, 148.8000030517578), (322.8000183105469, 148.8000030517578)]","[(327.6000061035156, 147.60000610351562), (313.20001220703125, 147.60000610351562)]","[(316.8000183105469, 146.40000915527344), (303.6000061035156, 147.60000610351562)]",,,,,,,
208,,,,,"[(602.4000244140625, 184.8000030517578), (596.4000244140625, 184.8000030517578)]","[(603.6000366210938, 182.40000915527344), (596.4000244140625, 182.40000915527344)]","[(603.6000366210938, 180.0), (596.4000244140625, 180.0)]","[(603.6000366210938, 180.0), (597.6000366210938, 180.0)]",,,,,,,
209,,,,,"[(511.20001220703125, 188.6400146484375), (502.5600280761719, 188.6400146484375)]","[(508.32000732421875, 187.20001220703125), (499.6800231933594, 187.20001220703125)]","[(506.8800048828125, 185.760009765625), (498.2400207519531, 185.760009765625)]","[(505.4400329589844, 185.760009765625), (495.3600158691406, 185.760009765625)]","[(502.5600280761719, 187.20001220703125), (493.9200134277344, 187.20001220703125)]","[(501.1200256347656, 188.6400146484375), (491.0400085449219, 188.6400146484375)]","[(499.6800231933594, 188.6400146484375), (489.6000061035156, 188.6400146484375)]",,,,
210,,,,,"[(388.8000183105469, 228.9600067138672), (368.6400146484375, 228.9600067138672)]","[(377.280029296875, 228.9600067138672), (357.1200256347656, 228.9600067138672)]","[(365.760009765625, 230.40000915527344), (342.7200012207031, 230.40000915527344)]",,,,,,,,
211,,,,,"[(110.8800048828125, 175.6800079345703), (86.4000015258789, 177.12001037597656)]","[(79.48800659179688, 174.52801513671875), (53.5680046081543, 174.52801513671875)]",,,,,,,,,
212,,,,,"[(508.32000732421875, 155.52000427246094), (502.5600280761719, 154.0800018310547)]","[(506.8800048828125, 152.63999938964844), (499.6800231933594, 152.63999938964844)]",,,,,,,,,
213,,,,,"[(110.8800048828125, 180.0), (87.84000396728516, 180.0)]","[(79.20000457763672, 178.5600128173828), (53.5680046081543, 177.98402404785156)]",,,,,,,,,
214,,,,,"[(561.6000366210938, 169.92001342773438), (558.7200317382812, 169.92001342773438)]","[(561.6000366210938, 167.04000854492188), (558.7200317382812, 167.04000854492188)]",,,,,,,,,
215,,,,,"[(471.7440490722656, 95.04000854492188), (468.6336669921875, 93.31201171875)]","[(471.7440490722656, 89.85601043701172), (466.56005859375, 89.85601043701172)]","[(470.01605224609375, 86.40000915527344), (463.1040344238281, 86.40000915527344)]","[(468.2880554199219, 86.40000915527344), (464.83203125, 88.12800598144531)]","[(466.56005859375, 86.40000915527344), (459.6480407714844, 86.40000915527344)]","[(464.83203125, 86.40000915527344), (457.9200439453125, 86.40000915527344)]",,,,,
216,,,,,"[(108.864013671875, 133.05601501464844), (84.67200469970703, 133.05601501464844)]","[(76.0320053100586, 127.87200927734375), (51.840003967285156, 128.16000366210938)]",,,,,,,,,
217,,,,,"[(323.1360168457031, 193.5360107421875), (307.5840148925781, 193.5360107421875)]","[(311.0400390625, 191.80801391601562), (295.20001220703125, 191.52000427246094)]",,,,,,,,,
218,,,,,"[(233.280029296875, 179.71202087402344), (216.00001525878906, 180.0)]","[(213.58082580566406, 178.32962036132812), (196.99203491210938, 178.32962036132812)]",,,,,,,,,
219,,,,,"[(435.4560546875, 184.89601135253906), (426.8160400390625, 184.89601135253906)]","[(432.0000305175781, 183.1680145263672), (423.36004638671875, 183.1680145263672)]","[(428.5440368652344, 181.4400177001953), (419.904052734375, 181.4400177001953)]",,,,,,,,
220,,,,,"[(266.1120300292969, 245.3760223388672), (231.55201721191406, 245.3760223388672)]","[(235.00802612304688, 250.56002807617188), (196.99203491210938, 248.83203125)]","[(194.91842651367188, 255.05284118652344), (153.44642639160156, 255.05284118652344)]",,,,,,,,
221,,,,,"[(232.24322509765625, 180.40322875976562), (213.58082580566406, 180.40322875976562)]","[(213.99557495117188, 179.15908813476562), (194.08901977539062, 179.15908813476562)]",,,,,,,,,
222,,,,,"[(669.7728881835938, 159.66722106933594), (663.5520629882812, 160.70401000976562)]","[(669.7728881835938, 155.52001953125), (663.5521240234375, 155.52001953125)]","[(671.8464965820312, 153.44642639160156), (663.5521240234375, 153.44642639160156)]",,,,,,,,
223,,,,,"[(435.4560546875, 184.55043029785156), (427.1616516113281, 184.55043029785156)]","[(431.3088684082031, 182.47682189941406), (423.01446533203125, 182.47682189941406)]","[(429.2352600097656, 180.40322875976562), (420.52618408203125, 179.15908813476562)]",,,,,,,,
224,,,,,"[(278.69189453125, 134.3693084716797), (263.7619934082031, 134.3693084716797)]","[(263.7619934082031, 131.88099670410156), (248.83206176757812, 131.88099670410156)]",,,,,,,,,
225,,,,,"[(755.4541625976562, 113.46742248535156), (743.5101928710938, 113.46742248535156)]","[(758.9378051757812, 106.99778747558594), (746.49609375, 107.82721710205078)]",,,,,,,,,
226,,,,,"[(280.68255615234375, 134.36932373046875), (262.76666259765625, 134.36932373046875)]","[(265.7526550292969, 131.38333129882812), (247.83673095703125, 131.38333129882812)]","[(250.82272338867188, 128.3973388671875), (232.9068145751953, 128.3973388671875)]",,,,,,,,
227,,,,,"[(437.148193359375, 182.74227905273438), (427.99114990234375, 184.13572692871094)]","[(433.56500244140625, 179.15908813476562), (426.3986511230469, 179.15908813476562)]","[(429.9818115234375, 179.15908813476562), (419.2322692871094, 179.15908813476562)]","[(426.3986511230469, 179.15908813476562), (415.64910888671875, 179.15908813476562)]","[(422.8154602050781, 179.15908813476562), (412.06591796875, 179.15908813476562)]",,,,,,
228,,,,,,"[(382.0, 128.0), (373.0, 128.0)]","[(376.0, 125.0), (367.0, 124.0)]","[(374.0, 123.0), (362.0, 124.0)]",,,,,,,
229,,,,,,"[(394.0, 127.0), (386.0, 126.0)]","[(389.0, 124.0), (380.0, 124.0)]","[(385.0, 123.0), (375.0, 123.0)]",,,,,,,
230,,,,,,"[(391.0, 126.0), (382.0, 126.0)]","[(386.0, 123.0), (376.0, 123.0)]","[(381.6000061035156, 122.4000015258789), (372.0, 122.4000015258789)]","[(375.6000061035156, 122.4000015258789), (366.0, 122.4000015258789)]",,,,,,
231,,,,,,"[(381.0, 126.0), (372.0, 126.0)]","[(376.8000183105469, 124.80000305175781), (367.20001220703125, 123.60000610351562)]",,,,,,,,
232,,,,,,"[(257.0, 165.0), (240.00001525878906, 165.60000610351562)]","[(242.40000915527344, 163.20001220703125), (224.40000915527344, 163.20001220703125)]",,,,,,,,
233,,,,,,"[(477.0, 199.0), (462.0, 199.0)]","[(472.0, 198.0), (456.0, 198.0)]",,,,,,,,
234,,,,,,"[(228.0, 91.0), (201.60000610351562, 92.4000015258789)]","[(201.60000610351562, 84.0), (172.8000030517578, 84.96000671386719)]",,,,,,,,
235,,,,,,"[(234.0, 99.0), (207.0, 99.0)]","[(206.40000915527344, 91.20000457763672), (177.60000610351562, 92.4000015258789)]",,,,,,,,
236,,,,,,"[(486.0, 162.0), (480.0, 162.0)]","[(484.0, 160.0), (477.0, 161.0)]","[(482.0, 159.0), (475.0, 159.0)]","[(480.0, 160.0), (474.0, 160.0)]",,,,,,
237,,,,,,"[(668.0, 158.0), (663.6000366210938, 158.40000915527344)]","[(669.0, 155.0), (664.0, 156.0)]","[(670.0, 154.0), (665.0, 155.0)]","[(671.0, 155.0), (666.0, 155.0)]","[(672.0, 154.8000030517578), (667.2000122070312, 156.0)]",,,,,
238,,,,,,"[(265.0, 94.0), (248.40000915527344, 94.80000305175781)]","[(249.60000610351562, 88.80000305175781), (232.8000030517578, 88.80000305175781)]","[(234.00001525878906, 85.20000457763672), (216.00001525878906, 85.20000457763672)]","[(217.20001220703125, 82.80000305175781), (198.00001525878906, 82.80000305175781)]",,,,,,
239,,,,,,"[(748.0, 95.0), (732.0, 95.0)]","[(754.0, 91.0), (736.800048828125, 90.0)]",,,,,,,,
240,,,,,,"[(668.4000244140625, 148.8000030517578), (662.4000244140625, 150.0)]","[(669.6000366210938, 146.40000915527344), (663.8400268554688, 145.44000244140625)]",,,,,,,,
241,,,,,,"[(760.800048828125, 139.20001220703125), (745.0, 140.0)]","[(765.6000366210938, 135.60000610351562), (749.0, 136.0)]",,,,,,,,
242,,,,,,"[(384.0, 234.00001525878906), (362.4000244140625, 234.00001525878906)]","[(372.0, 236.40000915527344), (349.20001220703125, 235.20001220703125)]",,,,,,,,
243,,,,,,"[(374.4000244140625, 230.40000915527344), (354.0, 230.40000915527344)]","[(362.4000244140625, 231.60000610351562), (343.20001220703125, 230.40000915527344)]",,,,,,,,
244,,,,,,"[(382.8000183105469, 237.60000610351562), (361.20001220703125, 237.60000610351562)]","[(369.6000061035156, 238.8000030517578), (349.20001220703125, 238.8000030517578)]",,,,,,,,
245,,,,,,"[(476.4000244140625, 199.20001220703125), (462.0, 199.0)]","[(472.0, 198.0), (456.0, 198.0)]",,,,,,,,
246,,,,,,"[(231.60000610351562, 243.60000610351562), (194.40000915527344, 242.40000915527344)]","[(192.0, 248.40000915527344), (151.0, 248.0)]",,,,,,,,
247,,,,,,"[(238.8000030517578, 244.8000030517578), (201.60000610351562, 244.8000030517578)]","[(201.60000610351562, 250.5600128173828), (158.40000915527344, 250.5600128173828)]",,,,,,,,
248,,,,,,"[(606.0, 183.60000610351562), (598.800048828125, 183.60000610351562)]","[(606.0, 181.20001220703125), (598.800048828125, 181.20001220703125)]","[(606.0, 180.0), (597.6000366210938, 180.0)]",,,,,,,
249,,,,,,"[(233.28001403808594, 241.92001342773438), (194.40000915527344, 241.92001342773438)]","[(193.5360107421875, 248.83203125), (152.0640106201172, 248.83203125)]",,,,,,,,
250,,,,,,"[(335.52001953125, 138.24000549316406), (321.1200256347656, 139.6800079345703)]","[(326.592041015625, 136.5120086669922), (312.7680358886719, 136.5120086669922)]",,,,,,,,
251,,,,,,"[(558.7200317382812, 184.32000732421875), (554.4000244140625, 184.32000732421875)]","[(558.7200317382812, 182.8800048828125), (554.4000244140625, 182.8800048828125)]",,,,,,,,
252,,,,,,"[(555.8400268554688, 158.40000915527344), (552.0, 158.40000915527344)]","[(555.8400268554688, 155.52000427246094), (551.52001953125, 155.52000427246094)]","[(554.4000244140625, 155.52000427246094), (550.800048828125, 154.8000030517578)]",,,,,,,
253,,,,,,"[(525.6000366210938, 188.6400146484375), (516.9600219726562, 188.6400146484375)]","[(524.1600341796875, 187.20001220703125), (515.52001953125, 187.20001220703125)]","[(522.7200317382812, 187.20001220703125), (514.800048828125, 187.20001220703125)]","[(521.280029296875, 188.6400146484375), (512.6400146484375, 188.6400146484375)]","[(519.8400268554688, 190.0800018310547), (509.760009765625, 190.0800018310547)]","[(518.4000244140625, 190.0800018310547), (508.03204345703125, 190.08001708984375)]",,,,
254,,,,,,"[(432.0000305175781, 182.8800048828125), (423.36004638671875, 183.1680145263672)]","[(428.5440368652344, 181.4400177001953), (419.904052734375, 181.4400177001953)]",,,,,,,,
255,,,,,,"[(216.00001525878906, 177.12001037597656), (196.9920196533203, 177.98402404785156)]","[(194.91842651367188, 176.2560272216797), (176.2560272216797, 176.2560272216797)]",,,,,,,,
256,,,,,,"[(475.2000427246094, 89.85601043701172), (470.01605224609375, 91.5840072631836)]","[(473.4720458984375, 86.40000915527344), (463.1040344238281, 86.40000915527344)]",,,,,,,,
257,,,,,,"[(378.4320373535156, 229.8240203857422), (357.1200256347656, 228.9600067138672)]","[(365.760009765625, 230.40000915527344), (342.7200012207031, 230.40000915527344)]",,,,,,,,
258,,,,,,"[(668.736083984375, 148.60801696777344), (663.5520629882812, 148.60801696777344)]","[(670.4640502929688, 146.88002014160156), (663.5520629882812, 148.60801696777344)]","[(670.4640502929688, 145.15200805664062), (663.5520629882812, 146.88002014160156)]",,,,,,,
